id,id_cliente,valor_total
1a921d6c-db2e,C2416,198.14
0b95d11d-a22c,C5577,130.29
55b57ba4-4a01,C9725,74.88
3a859c0c-fd2e,C8955,129.62
a0ccf846-8573,C9014,85.83
7c004a96-62ae,C4887,230.8
dde0d3ad-8ad8,C5907,154.78
fd5a770b-42b1,C10925,266.0
dfc318b0-61c0,C6940,216.33
a6192e70-0528,C2930,257.91
23105a9e-6d26,C9970,256.33
64028175-eedc,C6606,1460.0
f24fadb3-6ac2,C5827,97.87
690cf368-115b,C6720,202.67
8d8c44e7-8353,C8439,155.35
18d56f60-a2d7,C7947,125.64
05dfe343-ac88,C5393,198.0
4782b5c4-c1cc,C7875,187.56
b6fc63b9-7e48,C4098,78.92
52febfb5-972a,C9240,140.06
f271708c-2016,C22,214.33
da921d97-253d,C10703,480.0
409ae1d2-0fde,C3673,383.5
c07b8a8f-a3c1,C7500,219.8
587086b4-bd03,C10281,149.78
11c35a55-267e,C6988,333.11
f9eb886f-5894,C1676,179.4
b16ff489-0053,C4964,237.92
89ece3a2-dfd2,C6384,134.5
ce62ec4a-e5f2,C9504,680.8
78ffde86-b36a,C9298,212.38
3bca1243-653a,C3578,227.56
29d1a674-5b07,C9467,65.77
a1d6a51c-9351,C10795,91.65
0c7dbfa9-c89f,C8625,66.82
56f2d3b6-1fde,C5223,127.47
f48c8b15-a2e4,C5493,117.07
3a1b2fce-5d5a,C6424,106.31
0af689d4-0767,C3120,229.43
31fa7fbb-5234,C5080,326.44
2218f3bc-aac6,C202,213.62
0e7965ae-a568,C2281,175.5
8816e8d0-e951,C4442,484.5
ad3203f3-c353,C6255,209.93
a47393b0-1b1d,C4828,195.71
287c8ef2-da58,C3846,443.25
882e340c-c1c4,C5084,220.91
25f90bd6-d80a,C2447,636.0
bf6b58bd-1fc6,C1175,188.75
faaf0516-6b78,C6019,103.07
e5d1a933-5dda,C810,134.39
91de9b0c-920b,C49,38.95
eea9a144-5b32,C7600,63.5
fd9ea4b3-4885,C2963,242.0
a6f1d9ae-fe2b,C9485,91.1
5127fda9-245b,C6343,221.67
1a8ff9fe-e67f,C2256,75.4
80673a3a-9ca7,C716,176.81
803ebaa8-1c33,C2727,793.0
2d0415c2-5787,C5824,65.45
08ecc365-31ed,C642,166.5
e77aca61-1bfd,C2811,88.61
9b82d734-06cb,C8852,636.0
c448ea56-38f9,C1100,122.79
4ad709bd-ecd1,C3334,171.43
8c038601-ec18,C2724,100.33
21665bcd-8e70,C5555,356.28
83d5c8b3-0be7,C8975,62.54
ea6e8346-34ca,C10846,107.29
d681ebc0-c988,C5899,16.79
e2f9b9a3-068c,C10286,249.14
f940e070-76bb,C2666,186.82
c1ea4853-e646,C749,175.6
4361c936-b10d,C5313,106.07
4d863f92-4155,C10281,149.78
6a91c31c-9a39,C10536,85.62
a8a17ebb-f6d6,C2404,555.75
d11faa6a-51e9,C8553,369.0
8fbaadc8-137e,C3623,41.05
db233bde-494c,C5529,127.0
aacb87de-bb4e,C8278,773.0
4a34b632-c171,C1050,73.75
4cf570b2-74a8,C8619,916.0
a9455d9c-5989,C1030,282.17
897520ee-3729,C4138,199.5
7a74c15f-34ec,C9790,327.0
